排名,保司,产品名称,年期,首年折扣,件数,年总保费(HKD),年总保费件均
1,永明,永誉传承储蓄计划,1,2.5%,13,167700000.0,12900000.0
2,永明,永誉传承储蓄计划,1,3.5%,8,116781600.0,14597700.0
3,永明,万年青·卓金保险计划II,5,21%,43,26395200.0,613841.8604651163
4,永明,万年青·星河尊享保险计划II,2,8%,18,18186000.0,1010333.3333333334
5,永明,万年青·星河尊享保险计划II,2,6%,34,15828660.0,465548.82352941175
6,永明,永誉传承储蓄计划,1,7%,2,15600000.0,7800000.0
7,永明,万年青·卓金保险计划II,5,20%,24,12480000.0,520000.0
8,永明,万年青·星河尊享保险计划II,5,20%,8,11700000.0,1462500.0
9,永明,万年青·星河传承保险计划II,5,20%,3,9750000.0,3250000.0
10,立桥,智选储蓄保（20年保障期）,1,2%,2,9750000.0,4875000.0
11,永明,永誉传承储蓄计划,1,8%,1,7800000.0,7800000.0
12,永明,万年青·星河尊享保险计划II,5,15%,18,7431000.0,412833.3333333333
13,永明,万年青·卓金保险计划II,5,59%,16,7020000.0,438750.0
14,永明,万年青·星河传承保险计划II,2,8%,2,6240000.0,3120000.0
15,永明,万年青·星河传承保险计划II,5,100%,13,5986500.0,460500.0
16,澳门中国人寿,裕饶传承储蓄保险计划III,5,20%,1,5000000.0,5000000.0
17,澳门中国人寿,裕饶传承储蓄保险计划III,5,10%,2,3600000.0,1800000.0
18,永明,万年青·星河尊享保险计划II,2,4%,2,3354000.0,1677000.0
19,澳门中国人寿,裕饶传承储蓄保险计划III,5,15%,1,2400000.0,2400000.0
20,太平洋,世代悦享储蓄保险计划3,1,10%,1,1950000.0,1950000.0
